id,title,flavor
201,盗電,誰しもそれが必要だ。だが俺たちはもっと必要なのだ。
107,メディア・アーカイブ,過去の出来事の情報にアクセスし、よりよき未来を計画。
5,生命探査,自生する生命形態の発見は、歴史上の偉業となることだろう。さあ探せ！
126,温室効果ガス工場,温室効果ガスを迅速に合成して大気に放つ施設。
83,巨大宇宙競,数キロメートルの太陽光を反射させ、地上の発電所へと集約する。
7,火星鉄道,物資と人々のための手軽な高速移動手段。
177,水分解プラント,水の電気分解は酸素と水素を生み出す。どちらも有益な期待だ。
19,水素の輸入,軽量だが高価かつ欠かせない元素。
113,太陽光発電,おそらく火星における最も普遍的なエネルギー源。
198,移民シャトル,この新世界は、かつてより多くの移民の関心を集めている。
70,地球カタパルト,地球からの輸出が楽になると、全てのコストが削減される。
101,鉄工所,火星の土壌を電気分解すると、鉄と酸素が遊離する。どちらもテラフォーミングには欠かせないものだ。
200,移民都市,移民の世話をするのは高くつく。しかし彼らが広がりゆく社会のために働くようになれば、そのぶんは回収できるようになるだろう。
11,大型小惑星,落下しても広大なる無人地帯なら・・・
31,最適化された空力ブレーキ,弾道計算と物性解析の手法を完璧にすることで、効果はまし、支出を節約できる。
204,テクノロジーのデモンストレーション,新規の技術とか、宇宙用のハードウェアとか、いろいろ試してみるのだ。
189,省エネルギー対策,都市部でのエネルギー消費を最小化。
197,テラフォーミング・ガニメデ,火星で終わる必要はないじゃないか。
140,溶岩流,火星の天を摩す巨大な山のひとつより、多量の溶岩を噴出させる。
104,鉱石処理場,鉱石を処理せよ。
36,不活性ガスの解法,大気圧を高めるには、窒素その他の不活性ガスが必要です。ああ、ヘリウムは吸わないほうがいいですよ。
52,魚類,火星産のオニカマスだと？そりゃすごい！
125,ハッカー集団,非倫理的、非合法、かつ非常に有効。
51,ミランダ・リゾート,太陽系で最も落差のある地形、ヴェローナ断崖にある観光施設。スリルを求める地球の富裕層に人気のスポット。
116,人造湖,景色の造形はテラフォーミングなみに骨が折れる。
76,宇宙競,極度に薄い鏡が太陽光を反射し、地表へと送り込む。
134,極寒菌,他の生命体と共生関係を築くことができる適応株。
145,地殻応力発電,地震予知が可能になってからというもの、事前にその強大なエネルギーを利用できるようになるのも、単に時間の問題だった。
139,波力発電,そうか、まずは波に乗ることが必要なんだな・・・
91,遺伝子修復,避けられない宇宙放射線のダメージを除去し、いくつかの老化現象を逆転させる。
16,大クレーター・ドーム,大都市に最適な広大なるエリア。
202,地下核実験施設,核爆発の放射性は遮蔽された。しかし、我々はその熱をまだ獲得し続けている。
115,人工光合成,人工光合成は2021年、エイカーマーク教授らによって化学的に達成された。テラフォーミングへの適用が待望されている。
15,赤道磁化,超電導ワイヤを巻きつけ、磁界を発生。
131,分解者,生命体の死骸の分解は、土壌の環境維持に不可欠。
157,脱窒菌,土中の硝酸塩を使って、窒素を大気に解放。
22,極地への黒塵散布,散布された塵は太陽熱を吸収する。とはいえ降雪のたびに、やり直さなくてはならないだろう。
96,温室効果ガス工場,生物学の研究と実験が行われる場所。
188,洪水,津波だ！気をつけろ！
4,人工雲,陽射しを遮るが、植物の発育は促進される。
191,永久凍土解放,氷結した凍土を融かすんだ。
2,小惑星採掘組合,手放せないチタン市場への足がかり。
48,改良型地衣類,テラフォーミング初期の段階でも適応。
39,ダイモス落とし,もともと使い道のない衛星だったからね。
88,ヒース,土壌を安定させる。
178,放熱トラッパー,温度勾配を利用した発電。
75,彗星曳航,空力ブレーキによって、衝突させずにその組成物質だけを確保できる。
86,ロボット作業員,生産能力を拡張。
160,電力供給組合,エネルギー市場の独占によって、敵対的買収も可能。
64,採掘地帯,既に活動拠点があるなら、確保するのも簡単だ。
168,風力発電,ついにより価値の高い風を手に入れた。
112,委員会買収,権力者を動かせ。
56,マグネシウム鉱山,火星の主要輸出産業は、火星自身に対しても建築資材を提供している。
143,大輸送船団,地球からの大量輸送。
137,カルテル,兄弟のようなものさ。
196,ラグランジュ観測所,惑星から遠く離れた静止軌道では、極めて貴重な観測が可能なのだ。
8,首都,理想的な配置と全施設から鑑みて、ここは火星の真の首都である。
89,過酸化物発電,火星の大地は酸化剤に満ちている。
132,核融合発電,最先端技術。
79,量子抽出器,宇宙の抗生物質を捕らえよ。
68,スポンサー,きみのプロジェクトを支援しようじゃないか。
199,立ち入り制限区,秘密研究に従事している地域。不適切な人物の侵入(もしくは脱出)を許さない。
1,開拓民訓練キャンプ,木星の衛星開発のための準備。
138,露天鉱床,地表を掘りぬくのは必ずしも環境に良いわけではないが、利益を生み出す。
72,鳥類,天空に生命を。
167,改良型温室効果ガスの輸入,より効果の高い温室効果ガス。
118,農場,ちゃんとした食糧生産法を、ついに確立できた。これでやっと、迅速な人口増加が見込めるのだ。
66,所有権主張,戦略拠点を押さえろ。
43,炭化プロセス,一般的な鉱物は、温室効果を高める二酸化炭素を発生させる。
95,物理学総合研究所,スーパーコンデンサの開発以前は、たびたび停電が発生していた。
158,産業用バクテリア,細菌をプログラムし、燃料生成や金属精錬を実行。
32,地下都市,採掘は高くつくが、防護と建築資材の両方が手に入る。
129,飛行船,この星の都市間を渡る比較的安価な方法。
102,電力網,電力の算出をもっと効率化しよう。
195,契約労働者,火星へのチケットを手にするために、タダ同然で働きたがる者が殺到した。
44,自然保護区,もともとの火星の地形と環境を保つ国立公園。
170,空中燃焼するアンモニア小惑星,アンモニアは温室効果ガスであり、生命体に不可欠な窒素の類である。
93,低木林,小さな生物に風からの守りを提供。
148,昆虫,花を受粉させ、種をばらまく。
169,ツンドラ開墾,凍土の上の雪解けの大地を耕す。
45,原子力発電,必要なエネルギーを確保するための安直な手段。
9,標準型小惑星,落下地点の植物はどうなってる？
25,宇宙ステーション,今すぐwww.fryxgames.seより購入しましょう
152,断熱材,よりよき断熱はエネルギー消費を抑える。
144,チタン鉱山,チタンはその強度のおかげで宇宙産業に有用である。
205,放射線化学工場,特定の芳香族化合物は、破壊されることなく危険な放射線を吸収できる。
175,人工衛星,軌道の交通を制御。
100,燃料発電機,単純だが電力供給量は限られている。
47,緑藻,水域に生息する基本的な光合成生物。
63,採掘遠征,見込みがありそうな地域を、とにかく掘れ。
61,大断崖組合,北部平原と南部高原の境目は、鉱物が豊富な地域だ。これを制する者こそ、この星の採掘業を制するのだ。
87,野の草花,土壌のあらゆるクレパスに、その根を張り広げる。
150,反重力技術,遂に完成した半重力技術は、家庭から産業や宇宙旅行にいたるまで、全てに革命を起こす。
142,モホール採掘エリア,マントルまで奥深く穿つトンネルは、熱とガスを放出する。
17,ノクティス市,ノクティス迷宮の靄は灰色だ。
103,製鋼所,土壌が鋼と酸素になるとは、素敵な響きだ。まあ、それには大量のエネルギーが必要なのだが。
120,メトロポリス,人口爆発によって、突如として複数の都市が融合し、ひとつの大きな都会を形成した。
162,温室効果ガスの輸入,温室効果ガスで熱を取り戻せ。
34,温室効果ガス生成バクテリア,生物圏と大気圏の双方に同時に働きかける。
42,古細菌,極限環境に適応した光合成細菌。
99,税関ステーション,政府の許可を得ていますから。
26,エオス谷自然公園,世界の驚異。観光業のための驚異。
69,電磁カタパルト,パヴォニス山麗にある200キロメートル長の加速器は、輸出品を宇宙空間へと放り上げる。
105,地球オフィス,母性の支援の元に物流を速やかに。
29,ドーム都市,この薄い大気では、都市の上に保護ドームをかけることによって、通常の気圧を保つ。
55,海藻畑,この新しく創出された大海はミネラルがとても豊富で、食糧生産には最適だ。
141,火力発電,標準装備の通常のエネルギー源
92,イオ採掘産業,燃料と希少鉱石の産地
123,工業地帯,重工業地域に指定されているため、火星一素敵な場所とは言いがたい。
135,高度な生態系,機能的でダイナミックな生態系には多くの構成要素が必要。
50,ウイルス,この手のウイルスは変異を繰り返し、接触、空気、そして輸血によって感染する。
98,トロピカル・リゾート,熱は観光客を惹きつける役にも立つ。
53,マリネリス湖,マリネリス傾向を満たすには大量の水が必要だ。
97,核実験場,地球から持ち込まれた時代遅れの核兵器の爆発は、気温上昇には有効。
122,苔類,土壌を豊かにしてくれる。
182,企業の拠点,あなたの企業だけに捧げられた都市。
203,ソレッタ,巨大な極薄鏡が太陽光を集め、赤い星を照射する。
136,水力発電,自然の力を利用して、より効果的に。
154,管理契約,快適な気温実現のために尽力。
49,クマムシ,顕微鏡サイズのこの生物は、氷結、・乾燥・高放射線・衝突などの悪環境でも生き延びることができる。
206,特化デザイン,これでうまくいかなかったら、適合するように作り直そう。
183,バイオマス発電,薪を燃やすのは簡単だ。
130,ミミズ,土壌を耕し、処理して豊かにする。
65,建設ラッシュ,インフラ整備を加速。
81,ガニメデ・コロニー,最大惑星の最大衛星へと植民
37,富窒素小惑星,火星に窒素を加えるとN2が大気層を厚くすると同時に、土壌が肥沃になって植物が育ちやすくなる。
109,メディア・グループ,あらゆる驚嘆すべき物語はカネになる。
184,家畜,食肉、羊毛、皮革などを提供。
60,樹木,果物、木材、新しい棲息環境をもたらす。
179,土壌工場,多くの有害物質を除去。
24,捕食獣,ライオンに虎に熊かよ、おい。
165,地場発生装置,磁場を作り出すことによって、宇宙放射線から生命体を守ることができる。
147,草食動物,火星の緑の丘に棲息。
80,巨大氷小惑星,ぶつけろ。大きければ大きいほどいい。
10,彗星落とし,衝撃に備えろ！
149,CEOお気に入りのプロジェクト,トップの関心を惹くのなら、関係スタッフは俄然やる気を出す。
73,火星大学,火星を理解するための大いなる一歩。
114,呼吸マスク,いまだに厳しいこの環境下でも活動が可能。
59,マングローブの森,森林湿地は、新種が棲息できる生態系を作り出す。
186,放射能防護服,宇宙放射線を遮ってくれる新たな合成繊維は、洗練されたファッションとなった。
23,極地の藻類,氷結する気温に適応。
6,発明家ギルド,偉大なる頭脳の集まるところ、新規のアイディアが生ず。
173,保護生息域,あなたの生態学的なプロジェクトにとって、厳しい環境だけが脅威ではない。
146,好窒素苔類,塩の多い火星の岩の表面に繁茂するよう調整。
3,深井戸暖房,コアの熱を求めて深く掘削。
193,プランテーション,限定地域だけに集中して、樹木の地域的な状態を改善するために尽力。
71,最先端合金,治金技術の最新の成果が、競争の武器になる。
74,ウイルス・エンハンサ,遺伝子操作したウイルス株は、他の生命体に対して、望んだ遺伝子を組み込む運び屋となりうる。
94,質量変換機,E=mc^2。1キログラム=尋常ならざるエネルギー。
155,設計された微細生命体,極寒状態に特化。
133,共生菌,共存共栄。
108,開放都市,とても快適とは言えないが、何よりも自由だ！
151,投資ローン,緊急のプロジェクトへの投資のためのローン。
21,フォボス宇宙港,火星への窓口。
12,エウロパより水の輸入,この木星の氷衛星は、低重力のおかげで水の大量輸出に適していた。
207,医療研究所,金持ちに対してと同様、民衆に対する健康産業もまた、儲かる事業である。
121,破壊工作,誰の仕業なのか、誰も知らない。
110,ビジネス・ネットワーク,社交界に対する投資は、新たなる道を切り開く。
208,AIセントラル,「４２」
166,シャトル,低重力によってよく舞い上がり、増えつつある大気によって滑空と着陸が可能。
13,起動エレベーター,静止軌道への超強度ケーブルカーは、輸出コストをリーズナブルなものにした。
67,鉱山採掘権,火星の富を巡る争いは、時に法廷からスタートする。
85,商業特区,人口密集地での権利を。
159,地衣類,ゆっくり繁茂、抜群の生命力。
185,オリンポス会議,科学のエリートたちが、太陽系で最も高い山オリンポスの頂に集められている。
117,地熱発電,地殻の断層によりコアの熱を取り出す。
84,海王星軌道通過探査船,カイパーベルト天体の探査。
46,雷電ハーベスタ,超電導ワイヤーで雷雲と連結された浮遊スーパーコンデンサ。発生した放電を捕獲して受信機へと伝送する。
156,標準テクノロジー,標準的な解決方法こそ完璧への王道。
27,恒星間植民船,未知なる銀河の新地平へ。
171,電磁場ドーム,宇宙放射線から限定的な地域を守る。
78,氷小惑星,あの水を、ここに降ろさなくては。
128,生態ゾーン,生態系を織りなす多層の種が棲息する隔離エリア。
33,藍色細菌,岩石表面に棲息し、酸素を抽出する。
119,防塵シール,建物、のりも尾、スーツに、ミクロン・サイズの塵が入ってこないようにする信頼できる装置。
176,ノクティス開墾,ノクティス迷宮の谷間独自の濃密で湿潤な大気を利用。
164,小型風車,永遠に吹く風を熱に変換する、大量生産の小さな風車。
62,鉱物堆積層,火星にはまだほとんど手つかずの領域があり、そこから簡単に有用な鉱物を確保することができる。
190,地熱トラップ,限定的に暑い地域は、生命に対する恩恵である。
18,タイタンよりのメタン,タイタンの英期待メタンを燃料として、火星に炭素と熱を増やそう。
180,燃料工場,浅い重力井戸のおかげで。火星は宇宙産業の花形となり、そしてロケットには燃料が必要なのだ。
106,企業買収,この惑星間企業は利益をもたらすに違いない。
28,警備艦隊,力で平和を維持。
161,エウロパよりの輸送船団,氷その他の重要な物資を、木星の衛星エウロパより。
192,発明コンテスト,自分の選んだ分野の科学コミュニティで活躍しよう。
38,ローバー建設,安全な移動手段でもある。
111,業務提携,金と情報は、しばしば互いに交換できる。
82,カリスト懲罰鉱山,そういえば、看守になりたいって言ってたよな？
181,極寒の雪解け,両極に水が戻りつつある。
90,研究に次ぐ研究,卓越した技術によって、数多くの神秘を解明
77,太陽風力発電,太陽嵐を手なずけ、利用するんだ。
30,月光収束システム,広範なエネルギー光線。集めるのは骨だが誰が気にする？
153,適応技術,可能性の限界を押し広げる。
40,小惑星採掘組合,低重力かつ希少鉱石の宝庫
20,前哨研究基地,解決のための新たな道を模索。
187,帯水層くみ上げ,地下貯水域をうまく刺激し、望む高度に安全に海洋を作り出す。
163,窒素の輸入,大気とバイオマスのためには、窒素の供給が不可欠。
54,小動物,植物がまばらな環境でも生存可能。
194,電力インフラ,臨機応変が肝要。
41,食料工場,増加する人口のために。
57,ヴェスタ造船,小惑星帯の誇り。
174,保全指定渓谷,空気密度が濃く湿度の高い肥沃な谷。ただし海面上昇に伴い、保護が必要。
35,蟻,多くの生態系において重要な役割を占めているにもかかわらず、蟻は他の生物に対する害悪となりうる。
14,開発センター,恒常化された発想のるつぼ。
124,雇われ襲撃者,この資源に関しては、私のほうが使い方を知っている。
127,地下貯水池よりの湧出,帯水層とも呼ばれる部分で、一か所穴をあけると大量の水が噴き出してくる。
172,愛玩動物,この子らなしでは、やっていけない。
